Item Name,  Cost   ,  Selling Price  ,  Profit   ,Margin
Vanilla Fudge Latte (S),$1.21 ,$3.00 ,$1.28 ,43%
Vanilla Milkshake (L),$1.63 ,$4.00 ,$1.32 ,33%
Vanilla Milkshake (S),$1.36 ,$3.50 ,$1.76 ,44%
White Caramel Mocha (L),$1.34 ,$3.25 ,$1.59 ,49%
White Caramel Mocha (S),$1.12 ,$2.75 ,$1.59 ,49%
White Pumpkin Mocha (L),$1.22 ,$2.75 ,$1.59 ,49%
White Pumpkin Mocha ,$1.22 ,$2.75 ,$1.59 ,49%
White Pumpkin Mocha (S),$0.99 ,$2.50 ,$1.35 ,54%
White Hot Chocolate (L),$1.34 ,$3.25 ,$1.59 ,49%
White Hot Chocolate (S),$0.93 ,$1.89 ,$0.96 ,51%
White Raspberry Mocha,$1.20 ,$3.50 ,$1.76 ,44%
Extra Oreo Cookie(1),$0.10 ,$0.35 ,$0.25 ,72%
Vanilla Latte (S),$1.27 ,$2.92 ,$1.65 ,57%
Vanilla Latte (L),$1.56 ,$3.50 ,$1.76 ,44%
Cup of Milk,$0.50 ,$1.50 ,$1.02 ,68%
Punpkin Mocha(S),$0.99 ,$2.50 ,$1.35 ,54%
Plain Milkshake (L),$1.88 ,$4.00 ,$1.32 ,33%
Plain Milkshake (S),$1.52 ,$3.25 ,$1.59 ,49%
Oreo Milkshake ,$1.65 ,$4.00 ,$1.32 ,33%
Oreo Milkshake (L),$1.65 ,$4.00 ,$1.32 ,33%
Oreo Milkshake (S),$1.35 ,$3.50 ,$1.76 ,44%
Mint Oreo Milkshake ,$1.75 ,$3.25 ,$1.59 ,49%
Muffin,$0.79 ,$2.00 ,$1.43 ,71%
Brazilian Truffle,$0.85 ,$1.25 ,$0.83 ,67%
Donut,$1.08 ,$2.00 ,$1.43 ,71%
Pumpkin Pie Milkshake,$1.66 ,$4.00 ,$2.34 ,58%
